name,latitude,longitude,radius_meters
home,52.936187,-0.667000,100
work,51.4673643,-0.0899569,100
Grantham train station,52.9066046,-0.642853,150
Border Union Showground Kelso,55.595921,-2.44003367,400
Stafford Showground,52.825267,-2.06660553,400
Newark Showground,53.0998368,-0.766767571,300
Stoneleigh Kennel Club Building,52.338516,-1.520458137,100
Chesterfield Showground,53.2217458,-1.283127,100
Rutland Showground,52.682701,-0.7354510,300
Leeds Showground,53.899576,-1.520121657,300
Darlington Showground,54.1265692,-1.500290,300
